Account,Date,daily_PnL,win_rate,avg_trade_size,num_trades,long_short_ratio,value,classification
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,0.0,5089.718248587571,177,0.0,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,0.0,7976.664411764705,68,0.0,90.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,0.0,23734.5,40,0.0,83.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,0.0,28186.666666666668,12,inf,94.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,1.0,17248.14814814815,27,0.8,79.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,0.0,16058.536341463414,82,inf,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,0.0,48561.68565217392,23,0.0,84.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,0.0,36736.36242424243,33,inf,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,0.20535714285714285,11410.954021505377,465,0.31728045325779036,77.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,1.0,9400.588039215687,51,1.2173913043478262,76.0,Extreme Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,1.0,185847.0,10,9.0,60.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-03,101011.685664,0.6900269541778976,23593.019856972587,839,0.7157464212678937,44.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-04,375620.270243,0.7477477477477478,10576.687156308852,531,0.2642857142857143,72.0,Greed
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-05,44400.9058,1.0,26585.06338095238,210,0.5909090909090909,54.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-09,30897.0887,1.0,10161.056241134751,141,14.666666666666666,46.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-10,55086.0,1.0,32032.5,48,0.5,43.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-11,0.0,0.0,134600.00166666668,6,0.0,47.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-24,10152.12224,1.0,27178.041694915253,59,1.1071428571428572,49.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-25,115445.395538,1.0,13233.776894977169,219,0.7380952380952381,25.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-28,115287.0,1.0,24958.908545454546,55,0.018518518518518517,16.0,Extreme Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-01,9482.221441,1.0,2985.797555555556,45,4.0,20.0,Extreme Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-03,533974.662903,1.0,8371.136099843994,641,5.346534653465347,33.0,Fear
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-03-24,40200.0,1.0,79640.0,5,4.0,45.0,Neutral
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-04-12,307855.80341,1.0,21491.640322580646,31,inf,43.0,Fear
